1	54	57	57	4	4
2	54	57	57	4	4
3	54	57	57	5	4
4	54	58	57	4	4
5	54	58	57	4	4
6	54	58	57	4	4
7	54	58	57	5	4
8	54	58	58	4	4
9	54	58	58	4	4
10	54	58	58	4	4
11	54	58	58	4	4
12	54	58	58	5	4
13	54	58	58	4	3
14	54	58	58	4	4
15	54	58	58	4	4
16	54	58	58	4	4
17	54	58	58	4	4
18	54	58	58	5	4
19	54	59	58	3	3
20	54	59	58	4	3
21	54	59	58	4	4
22	54	59	58	4	4
23	54	59	58	4	4
24	54	59	58	4	4
25	54	59	58	5	4
26	54	59	59	3	3
27	54	59	59	4	3
28	54	59	59	4	4
29	54	59	59	4	4
30	54	59	59	4	4
31	54	59	59	4	4
32	54	59	59	5	4
34	54	59	59	4	3
35	54	59	59	4	4
36	54	59	59	4	4
37	54	59	59	4	4
38	54	59	59	4	4
39	54	59	59	5	4
40	54	60	59	3	3
41	54	60	59	4	3
42	54	60	59	4	4
43	54	60	59	4	4
44	54	60	59	4	4
45	54	60	59	4	4
46	54	60	59	5	4
49	53	60	60	6	6
50	53	60	60	6	6
51	53	60	60	6	6
52	53	60	60	7	6
53	53	60	60	7	7
54	53	60	60	7	7
55	53	60	60	7	7
56	54	60	60	2	2
62	54	60	60	3	3
63	54	60	60	3	3
64	54	60	60	3	3
65	54	60	60	4	3
66	54	60	60	4	4
67	54	60	60	4	4
68	54	60	60	4	4
69	54	60	60	5	4
72	53	60	60	6	6
73	53	60	60	6	6
74	53	60	60	6	6
75	53	60	60	7	6
76	53	60	60	7	7
77	53	60	60	7	7
78	53	60	60	7	7
79	54	60	60	2	2
80	54	60	60	2	2
81	54	60	60	2	2
83	54	60	60	3	3
84	54	60	60	3	3
85	54	60	60	3	3
86	54	60	60	3	3
87	54	60	60	4	3
88	54	60	60	4	4
89	54	60	60	4	4
90	54	60	60	4	4
91	54	60	60	4	4
92	54	60	60	5	4
93	54	60	60	2	2
94	54	60	60	2	2
95	54	60	60	2	2
96	54	60	60	3	2
97	54	60	60	3	3
98	54	60	60	3	3
99	54	60	60	3	3
100	54	60	60	3	3
101	54	60	60	4	3
102	54	60	60	4	4
103	54	60	60	4	4
104	54	60	60	4	4
105	54	60	60	4	4
106	54	60	60	5	4
110	53	61	60	6	6
111	53	61	60	7	6
112	53	61	60	7	7
113	53	61	60	7	7
114	53	61	60	7	7
119	54	61	60	2	2
120	54	61	60	2	2
121	54	61	60	3	2
122	54	61	60	3	3
123	54	61	60	3	3
124	54	61	60	3	3
125	54	61	60	3	3
126	54	61	60	4	3
127	54	61	60	4	4
128	54	61	60	4	4
129	54	61	60	4	4
130	54	61	60	4	4
131	54	61	60	5	4
132	53	61	61	5	5
133	53	61	61	5	5
134	53	61	61	5	5
135	53	61	61	6	5
139	53	61	60	6	6
140	53	61	60	7	6
141	53	61	60	7	7
142	53	61	60	7	7
143	53	61	60	7	7
147	54	61	61	2	2
148	54	61	61	2	2
149	54	61	61	3	2
150	54	61	61	3	3
151	54	61	61	3	3
152	54	61	61	3	3
153	54	61	61	3	3
154	54	61	61	3	4
155	54	61	61	4	4
156	54	61	61	4	4
157	54	61	61	4	4
158	54	61	61	4	4
159	54	61	61	5	4
160	53	61	61	5	5
161	53	61	61	5	5
162	53	61	61	5	5
163	53	61	61	5	5
164	53	61	61	6	5
170	53	61	61	7	7
171	53	61	61	7	7
172	53	61	61	7	7
176	54	61	61	2	2
177	54	61	61	2	2
178	54	61	61	3	2
179	54	61	61	3	3
180	54	61	61	3	3
181	54	61	61	3	3
182	54	61	61	3	3
183	54	61	61	4	3
184	54	61	61	4	4
